LOG : TIME : 1698767168568 	 UUID : 1b4a7385-740b-43db-a7a3-461665035ef0 	 -> GET	undefined	/user 
LOG : TIME : 1698767702335 	 UUID : d1088b3c-568a-424e-bcfd-384004c28e85 	 -> GET	undefined	/hello 
LOG : TIME : 1698767704095 	 UUID : f0b55361-972a-4b62-832f-5f309cdd0db4 	 -> GET	undefined	/hello 
LOG : TIME : 1698767704894 	 UUID : 9b785803-9d15-4fc5-9470-6fea879a44ae 	 -> GET	undefined	/hello 
LOG : TIME : 1698767705796 	 UUID : 8367abbe-0675-48cf-aa72-4665aed29ef4 	 -> GET	undefined	/hello 
LOG : TIME : 1698767707010 	 UUID : fe8241f9-af82-49a8-a752-43ae56a92322 	 -> GET	undefined	/hello 
LOG : TIME : 1698767708443 	 UUID : 2b4d887b-38c5-47f5-8c92-c4a89b53b179 	 -> GET	undefined	/hello 
LOG : TIME : 1698767779706 	 UUID : 08fdeac0-5476-4cac-bf47-796386b755a4 	 -> POST	undefined	/user/login 
LOG : TIME : 1698767784206 	 UUID : 6b3a7b1d-d71c-4581-a9aa-25b797cf73f1 	 -> POST	undefined	/user/login 
LOG : TIME : 1698767788436 	 UUID : 7e7f8d7b-cea0-40c0-8a3a-d07a9e51259b 	 -> POST	undefined	/user/login 
LOG : TIME : 1698767797904 	 UUID : ff7b6ea6-c702-4ef5-90bf-79273106e6cc 	 -> GET	undefined	/hello 
LOG : TIME : 1698768900499 	 UUID : f98c9cd6-0dbc-4921-9594-a0aff06a6fb1 	 -> GET	undefined	/ 
LOG : TIME : 1698768902144 	 UUID : 6d6c036d-e435-4b27-8ecf-ba39a65ebaac 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698768919543 	 UUID : 7274dc80-82d3-4985-8ed4-971240a7b32d 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698769038310 	 UUID : f1acd267-8cb1-4059-92fa-86a070934505 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698769049076 	 UUID : ed012329-edce-47c4-b38f-0bedcb81cc39 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698769132026 	 UUID : 8c427a41-fbb4-40a1-b1ca-9f73b4af5696 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698769140603 	 UUID : ca03507c-3131-48a8-bdfc-f5c59afb494c 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698769198914 	 UUID : fbe4937e-76c1-43a6-96c7-0a9800da1a59 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698769207134 	 UUID : e6afeb77-7e4c-4e5e-8972-8df9cf7c55a8 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698769366478 	 UUID : 4904bbcc-6f27-46a3-b772-def5dc1b273f 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698769377209 	 UUID : 9eedfa8b-af16-4434-9f64-dd752e847ef1 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698769492689 	 UUID : d1be1396-047d-4966-a306-07638e750be3 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698769501209 	 UUID : ec93f446-3f54-42d6-8e39-b073de979985 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698769699856 	 UUID : 3abe6726-61eb-4f14-b3b5-465688df851d 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698769713903 	 UUID : 0ed143da-561a-4ae0-bda5-3162da4f1cca 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698769785562 	 UUID : eab13c28-d560-4527-8a6e-0ad6c7902783 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698769796475 	 UUID : d4f6c507-eae2-427d-96fe-470cb3969c22 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698769863161 	 UUID : e733f370-cf84-46dd-8e71-71a8b8dbabc5 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698769884693 	 UUID : d9a92770-76c7-4a9b-8c92-83866179876a 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698769951783 	 UUID : a08d0c7b-a2d9-4374-a6a6-ab87c020c65e 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698769969112 	 UUID : 2f0bba67-828a-4e36-8a3a-8379bd4d2c76 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698770037999 	 UUID : e65fe967-01c4-42f2-8633-9c880e88dbd7 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698773789543 	 UUID : 4f3526c3-dffc-4c7d-909a-19fb428a784f 	 -> GET	undefined	/user/register 
LOG : TIME : 1698773792880 	 UUID : c1125c99-a621-4f1d-a3f5-1e016f8a0569 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698773843764 	 UUID : 7509dbfb-033e-4c11-b94c-3d762e2a4bef 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698773853457 	 UUID : 9622032b-4344-4a2e-9a42-2dbfc4bd2aa9 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698773940810 	 UUID : 370c85c1-1e9f-46cc-9f3b-8032a59b600d 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698773965178 	 UUID : 8500adc2-497e-4968-808c-eba2e2d33919 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698774011330 	 UUID : 4aa2b231-12d8-46ff-bcdc-08b61d307fde 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698774021742 	 UUID : af0990c0-f19d-471e-9663-d16fe66aa02c 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698775151552 	 UUID : 512b643a-8dad-4c81-a2cb-f28434bf8171 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698775161864 	 UUID : b149679d-62e2-4482-a487-66e7c69e23e8 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698775324058 	 UUID : 85397983-107e-4862-ac0c-b842adfb1433 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698775333330 	 UUID : e4726e39-d8a7-41bd-ab84-72909718ee4f 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698775524731 	 UUID : 1186a63f-b9a1-4ddc-a581-1682d9cdc290 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698775533201 	 UUID : 7abad91b-bb69-41ee-ac34-11a39c2fcee7 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698776349446 	 UUID : c4f5b8c7-2d9e-46c7-99d1-4bb358d16238 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698776462906 	 UUID : 6e47eec7-e839-4bcb-8f79-4fbfde34cc2c 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698776691549 	 UUID : d571066f-9c07-4a95-8065-24a722c33d1d 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698776776940 	 UUID : d1b9da63-ef6a-43be-ad88-4617afab3fae 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698776787316 	 UUID : cc4464a8-c0de-41b6-a048-fe0d15df0214 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698776878373 	 UUID : 1a47f64c-d074-4c0c-af6a-8cc1c4384a09 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698776984140 	 UUID : 6ca0c02d-c7ae-441b-96c2-7080fb08a26c 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698777007565 	 UUID : f00411d9-941c-4235-a1c1-eb4228713919 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698777018378 	 UUID : 7df70d59-1d79-4274-98f4-5bed36511007 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698777170408 	 UUID : c8bbaddf-262f-4c94-8161-c830c20766ee 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698777234117 	 UUID : cd2f6c65-68c1-46b8-9195-182a1ac4a597 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698777251918 	 UUID : 23050611-02de-48f3-9427-6e8b41e0ebaf 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698777263284 	 UUID : 6a525f30-16a6-41b0-924b-ac9e6dda1cd3 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698777426509 	 UUID : 8493dc14-0e45-4d0b-9990-6f71b613ea56 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698777476162 	 UUID : 65ebe0fb-26f3-4a6f-ba4c-170a21ab5452 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698778542566 	 UUID : 8f9db599-819d-4530-9fa5-6c85c49f2c3b 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698778555585 	 UUID : 0f5d1d41-6ca2-4063-90db-465c128c23ab 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698778564669 	 UUID : c39bb1f0-f6f0-415d-be41-2d03309ef1e0 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698778674967 	 UUID : 8d125032-f117-46aa-9043-9af343367e5f 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698778682187 	 UUID : 350d33ea-81bc-4400-bc51-1408b32f1ff1 	 -> GET	undefined	/user/ 
LOG : TIME : 1698778692062 	 UUID : c0aaa949-c566-4420-8b8f-6404260b340e 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698778701717 	 UUID : d0bdce43-08dc-4674-9138-06a3e8672fbc 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698778787292 	 UUID : e24ba37e-63e6-481b-bfb8-38cdd025d12e 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698778802092 	 UUID : e416507c-32d1-4d56-8788-41acba11e236 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698778802488 	 UUID : 163ca859-15f6-4fb6-b5f3-318fa035d88f 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698778924031 	 UUID : d2d5b2bb-d88a-4cb1-9fee-023a545ebb3d 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698778933618 	 UUID : 9a177ebf-66d7-443d-82bf-da565ea2fd0f 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698779056322 	 UUID : 8d0acfd7-914c-47ae-af9f-b67e8dd768c5 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698779064858 	 UUID : a1992273-a07e-4a20-bdf6-a08a25fa324b 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698779140018 	 UUID : 25941dea-5ff2-45fd-9126-af3a2442ff27 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698779145090 	 UUID : c1346b7d-71b3-48f6-b73d-7fc61863b23f 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698779154119 	 UUID : 21254ff7-41fb-49bd-a8b6-72aee8e24e9a 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698779265446 	 UUID : 41ac2642-bc2a-4ed9-8cba-7ffd1c5aa40d 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698779301571 	 UUID : c1195b14-512e-426b-a622-953589dea24f 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698779561501 	 UUID : b9954b60-cf09-40e2-9b6a-944353d438ca 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698779600094 	 UUID : 60304491-c09a-41c0-8e7c-cee9cabb5098 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698779661787 	 UUID : ad177525-8705-4bde-a85a-93d6d669fd30 	 -> POST	undefined	/user/signup 
LOG : TIME : 1698779668608 	 UUID : 50fb07e1-e639-45c1-8d80-4c161c3f1d30 	 -> POST	undefined	/user/signup 
LOG : TIME : 1698779752301 	 UUID : efa03975-40c9-4485-ae62-8fa9c0e825bc 	 -> POST	undefined	/user/signup 
LOG : TIME : 1698779791311 	 UUID : 2afc6441-8ac8-4593-94cd-09ebfa5709c0 	 -> POST	undefined	/user/signup 
LOG : TIME : 1698779821624 	 UUID : 3f287eff-294d-4b71-ab34-9ee0fb0f71f9 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698779831034 	 UUID : 9b81f906-b67c-4404-a662-92ddd99ecbc3 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698779919545 	 UUID : 5eaedbec-b9b0-4ca1-b6e6-e86982ef342c 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698779925232 	 UUID : 7bac4ea1-965d-4495-b973-7f921910a205 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698780093868 	 UUID : f1b1d604-3f3a-4da8-97e5-184a7cdd7ca7 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698780110814 	 UUID : fec33753-d58a-4c31-b716-daa8f9f0434b 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698780172161 	 UUID : f2a3da1b-2953-45a8-9604-82a828f44a2d 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698780180255 	 UUID : 4fb2562d-5b3c-4db3-8125-44692300e89b 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698780252075 	 UUID : 90f2394c-3368-470b-b50e-cc8b45174d22 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698780260041 	 UUID : 9ee55b8b-4e84-430b-9cb2-67b4f11bf220 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698780632742 	 UUID : b0c567c2-b998-40fb-b78f-57c2ea88b15f 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698780653325 	 UUID : c77b028a-2d2f-446e-8ac7-7da4ed712aeb 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698780699980 	 UUID : a559ff39-fdc9-4bab-b77d-43c6c47abfd5 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698780795850 	 UUID : 48c7ccf2-ad71-4f3b-ad0c-9f08e4a95956 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698780837271 	 UUID : 211fc558-349f-429e-a23f-a795c81647c6 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698780845673 	 UUID : 0659178c-ab5c-4747-a467-a7957e1b631c 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698780877875 	 UUID : 5963ebb9-e142-4a31-a699-6e443c8ea060 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698780885585 	 UUID : 31151c70-4dd9-4455-8bfd-7d26a8468126 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698780930555 	 UUID : 9c2900cc-35fc-4c8b-8395-29e91e973778 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698780938737 	 UUID : 06d49450-bfc7-444f-83f8-d814c883e4e5 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698780974731 	 UUID : ab055db4-c627-4199-8204-81451684de80 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698780977852 	 UUID : d23c1588-3d88-4a9d-968a-00ba9d076c13 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698780986711 	 UUID : ef228461-ceb7-44af-a5e5-a023d67a34d3 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698781061190 	 UUID : f001e0ad-a5b4-43e0-a214-913da1f42d83 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698782088846 	 UUID : c77e1b04-24e3-41b4-b84a-7493fa565eea 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698782098324 	 UUID : f547ace6-2d3f-4dce-8cc4-88df1c254ebc 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698782251516 	 UUID : 23db448f-2ffc-4cd5-ac24-f1ce35e49e10 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698782259354 	 UUID : fa58a828-5d10-4948-beb9-956e59736072 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698782636692 	 UUID : 1a7205db-4934-4349-ad2c-4a7597e4cbe5 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698782645555 	 UUID : c3b234c3-e403-475c-8a29-d4c911409afe 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698782829735 	 UUID : 5a6fba4f-9c09-4a42-8bc1-08ffe3cea1a6 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698782837725 	 UUID : 91e2fce2-731b-4873-983b-3e293a363f88 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698784315594 	 UUID : 0e24de46-5c1f-4fb4-9a52-26bd51618e0c 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698784324537 	 UUID : 4ab96346-2a5d-476e-a5de-8075b6021476 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698784358783 	 UUID : 9773b5ef-122b-4257-9b9c-d04c63f795f0 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698784360622 	 UUID : 2308a6fd-6b5b-487a-be14-e105e0d7f7f9 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698784370590 	 UUID : afeb8f31-fdf8-4582-89a9-b144247f244b 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698784379361 	 UUID : c8e3675c-02ea-437c-9094-0e045ac9476c 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698784594678 	 UUID : 0bfd3b41-7991-4adc-b2e7-37f39891b579 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698784624159 	 UUID : 597f783f-22fb-43c1-aa52-1f080f422853 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698784630585 	 UUID : 982bceaa-1473-4d9d-8fc7-2789de3f40d4 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698784651112 	 UUID : 9aa048fa-8848-4bdc-a9cb-315393321194 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698784678889 	 UUID : 4bbe5e14-587b-4304-acdf-790437cf8e9d 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698784687485 	 UUID : 75ec434e-0559-4a9d-94f3-6c57d944bae9 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698784836859 	 UUID : 8acf176b-424f-42ae-b3cc-99fb74eecfdb 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698784920091 	 UUID : 18cd2f50-289a-4e2f-b617-6237afc6a944 	 -> GET	undefined	/user/login 
LOG : TIME : 1698784921139 	 UUID : 7bd9bb6c-4923-4a68-bf95-b88d253981fa 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698784931395 	 UUID : 9d6bfb83-3173-4bdb-8c40-7ea636ca680f 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698784959428 	 UUID : dcc07658-c72e-463c-a65c-b83489902877 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698785599696 	 UUID : c5fdc2e1-07d9-4b71-b5c2-518b2571bd0e 	 -> GET	undefined	/user/login 
LOG : TIME : 1698785601009 	 UUID : 7aba4167-77c7-4733-8241-515940c627dd 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698824921308 	 UUID : 56ea8a5b-8f9b-4ebc-bf70-b763053a73a3 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698824921776 	 UUID : 21f58986-3d05-4dc9-8b42-efe019389ed2 	 -> GET	undefined	/favicon.ico 
LOG : TIME : 1698825310545 	 UUID : 27056f74-2a37-47f7-944e-4cf7e02a50f4 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698825313375 	 UUID : 0c40706b-2c23-4cf2-bcf5-d00b7c0ca700 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698825318762 	 UUID : ec8709cd-8032-45bb-9741-2de445dd4600 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698825476476 	 UUID : e988b21d-2471-4334-8480-836ebae64fff 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698825485907 	 UUID : 8b4c8a0d-848b-45c9-b406-3b1441bad69d 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698825646410 	 UUID : ad294475-3b45-4c6d-84eb-e30ac5ca6b24 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698825942063 	 UUID : 265a16ab-4348-49f9-8cf9-c26298f2312a 	 -> GET	undefined	/user/ 
LOG : TIME : 1698825959490 	 UUID : 82cd65c0-05e2-4d04-8749-9a36572bea46 	 -> GET	undefined	/ 
LOG : TIME : 1698825961247 	 UUID : bfeed76c-eccc-474c-babb-58c933fc495e 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698826019062 	 UUID : 5111eb15-57db-4ace-94ff-1ac5da04e3e3 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698826495545 	 UUID : 824dfd65-8115-4358-9564-dd6aaafddf9c 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698826521387 	 UUID : d7c8ecb8-0d74-40b8-a5c6-bf94a08e106c 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698826789717 	 UUID : e7315937-2869-419c-8528-904295c63b14 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698826794057 	 UUID : 3b0f9d14-a8cb-4cd2-a34c-ff1cc750d74c 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698826802449 	 UUID : 2a9678aa-e814-4995-89be-1cc53733df13 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698826830935 	 UUID : 4992e3ea-ed06-4344-b64d-740c115de3bb 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698826837536 	 UUID : 75487f3f-a73a-4273-9b06-63da88f66f03 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698827022328 	 UUID : db2ceaa1-ce4f-4e29-a356-e7a9a6503892 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698827068538 	 UUID : fd4a90cc-4665-4b00-a396-0ea66e0efb6d 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698827101722 	 UUID : 4e58f1d5-1aa9-49e0-a904-431c2044989d 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698827110352 	 UUID : 5aea2313-ff33-441d-bbdc-1e930c9965f4 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698827114227 	 UUID : 695f191b-08b1-4c78-9427-86d8b493b647 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698827123965 	 UUID : bf64b395-9251-43e4-be0c-7e400678397a 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698827332998 	 UUID : 5bd39c5e-5e36-4519-8316-190152357f00 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698827340212 	 UUID : 4d715902-d9d3-4008-8d2f-cdf241560769 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698827488757 	 UUID : 55ae4bb4-9ccb-4ff5-ba49-5d1835220564 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698827494812 	 UUID : 92d313a5-16df-4e14-8691-daee7118650f 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698827537337 	 UUID : 6e5dcd95-330f-4cfa-846c-bac35bb4b804 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698827688430 	 UUID : 07199734-dcbd-435f-811e-3d10eced5bca 	 -> GET	undefined	/user/login 
